,County,State,City,Pollutant,Date,total_population,cumulative_cases,cumulative_deaths,new_cases,new_deaths
0,Baldwin,Alabama,Fairhope,9.2,2020-01-22,208107.0,0,0,,
1,Baldwin,Alabama,Fairhope,4.1,2020-01-25,208107.0,0,0,0.0,0.0
2,Baldwin,Alabama,Fairhope,4.8,2020-01-28,208107.0,0,0,0.0,0.0
3,Baldwin,Alabama,Fairhope,7.2,2020-01-31,208107.0,0,0,0.0,0.0
4,Baldwin,Alabama,Fairhope,3.9,2020-02-03,208107.0,0,0,0.0,0.0
5,Baldwin,Alabama,Fairhope,5.0,2020-02-06,208107.0,0,0,0.0,0.0
6,Baldwin,Alabama,Fairhope,5.8,2020-02-09,208107.0,0,0,0.0,0.0
7,Baldwin,Alabama,Fairhope,7.4,2020-02-12,208107.0,0,0,0.0,0.0
8,Baldwin,Alabama,Fairhope,6.9,2020-02-15,208107.0,0,0,0.0,0.0
9,Baldwin,Alabama,Fairhope,4.1,2020-02-18,208107.0,0,0,0.0,0.0
10,Baldwin,Alabama,Fairhope,3.5,2020-02-21,208107.0,0,0,0.0,0.0
11,Baldwin,Alabama,Fairhope,4.7,2020-02-24,208107.0,0,0,0.0,0.0
12,Baldwin,Alabama,Fairhope,3.9,2020-02-27,208107.0,0,0,0.0,0.0
13,DeKalb,Alabama,Crossville,5.4,2020-01-28,71200.0,0,0,0.0,0.0
14,DeKalb,Alabama,Crossville,10.8,2020-01-31,71200.0,0,0,0.0,0.0
15,DeKalb,Alabama,Crossville,7.0,2020-02-03,71200.0,0,0,0.0,0.0
16,DeKalb,Alabama,Crossville,5.0,2020-02-09,71200.0,0,0,0.0,0.0
17,DeKalb,Alabama,Crossville,4.2,2020-02-12,71200.0,0,0,0.0,0.0
18,DeKalb,Alabama,Crossville,5.0,2020-02-15,71200.0,0,0,0.0,0.0
19,DeKalb,Alabama,Crossville,2.3,2020-02-18,71200.0,0,0,0.0,0.0
20,DeKalb,Alabama,Crossville,6.4,2020-02-21,71200.0,0,0,0.0,0.0
21,DeKalb,Alabama,Crossville,7.1,2020-02-24,71200.0,0,0,0.0,0.0
