,County,State,City,Pollutant,Date
0,Baldwin,Alabama,Fairhope,9.2,2020-01-22
1,Baldwin,Alabama,Fairhope,4.1,2020-01-25
2,Baldwin,Alabama,Fairhope,4.8,2020-01-28
3,Baldwin,Alabama,Fairhope,7.2,2020-01-31
4,Baldwin,Alabama,Fairhope,3.9,2020-02-03
5,Baldwin,Alabama,Fairhope,5.0,2020-02-06
6,Baldwin,Alabama,Fairhope,5.8,2020-02-09
7,Baldwin,Alabama,Fairhope,7.4,2020-02-12
8,Baldwin,Alabama,Fairhope,6.9,2020-02-15
9,Baldwin,Alabama,Fairhope,4.1,2020-02-18
10,Baldwin,Alabama,Fairhope,3.5,2020-02-21
11,Baldwin,Alabama,Fairhope,4.7,2020-02-24
12,Baldwin,Alabama,Fairhope,3.9,2020-02-27
13,DeKalb,Alabama,Crossville,5.4,2020-01-28
14,DeKalb,Alabama,Crossville,10.8,2020-01-31
15,DeKalb,Alabama,Crossville,7.0,2020-02-03
16,DeKalb,Alabama,Crossville,5.0,2020-02-09
17,DeKalb,Alabama,Crossville,4.2,2020-02-12
18,DeKalb,Alabama,Crossville,5.0,2020-02-15
19,DeKalb,Alabama,Crossville,2.3,2020-02-18
20,DeKalb,Alabama,Crossville,6.4,2020-02-21
21,DeKalb,Alabama,Crossville,7.1,2020-02-24
22,DeKalb,Alabama,Crossville,5.1,2020-02-27
23,Morgan,Alabama,Decatur,5.9,2020-01-28
24,Morgan,Alabama,Decatur,8.9,2020-01-31
25,Morgan,Alabama,Decatur,4.5,2020-02-03
26,Morgan,Alabama,Decatur,4.9,2020-02-09
27,Morgan,Alabama,Decatur,4.2,2020-02-12
28,Morgan,Alabama,Decatur,4.6,2020-02-15
29,Morgan,Alabama,Decatur,3.5,2020-02-18
30,Morgan,Alabama,Decatur,5.7,2020-02-21
31,Morgan,Alabama,Decatur,7.3,2020-02-24
32,Morgan,Alabama,Decatur,3.1,2020-02-27
33,Mobile,Alabama,Chickasaw,7.3,2020-01-22
34,Mobile,Alabama,Chickasaw,5.9,2020-01-25
35,Mobile,Alabama,Chickasaw,5.6,2020-01-28
36,Mobile,Alabama,Chickasaw,4.3,2020-02-06
37,Mobile,Alabama,Chickasaw,6.1,2020-02-09
38,Mobile,Alabama,Chickasaw,7.7,2020-02-12
39,Mobile,Alabama,Chickasaw,5.5,2020-02-15
40,Mobile,Alabama,Chickasaw,6.2,2020-02-18
41,Mobile,Alabama,Chickasaw,7.4,2020-02-24
42,Montgomery,Alabama,Montgomery,6.9,2020-01-22
43,Montgomery,Alabama,Montgomery,4.1,2020-01-25
44,Montgomery,Alabama,Montgomery,7.7,2020-01-28
45,Montgomery,Alabama,Montgomery,6.6,2020-01-31
46,Montgomery,Alabama,Montgomery,6.0,2020-02-03
47,Montgomery,Alabama,Montgomery,5.1,2020-02-09
48,Montgomery,Alabama,Montgomery,5.7,2020-02-12
49,Montgomery,Alabama,Montgomery,6.6,2020-02-15
50,Montgomery,Alabama,Montgomery,5.0,2020-02-18
51,Montgomery,Alabama,Montgomery,3.7,2020-02-21
52,Montgomery,Alabama,Montgomery,9.1,2020-02-24
53,Montgomery,Alabama,Montgomery,3.6,2020-02-27
54,Montgomery,Alabama,Montgomery,6.9,2020-01-22
55,Montgomery,Alabama,Montgomery,8.1,2020-01-28
56,Montgomery,Alabama,Montgomery,6.0,2020-02-03
57,Montgomery,Alabama,Montgomery,5.0,2020-02-09
58,Montgomery,Alabama,Montgomery,6.6,2020-02-15
59,Montgomery,Alabama,Montgomery,3.6,2020-02-21
60,Montgomery,Alabama,Montgomery,3.6,2020-02-27
61,Clay,Alabama,Ashland,3.7,2020-01-28
62,Clay,Alabama,Ashland,4.9,2020-02-03
63,Clay,Alabama,Ashland,4.2,2020-02-09
64,Clay,Alabama,Ashland,4.3,2020-02-12
65,Clay,Alabama,Ashland,6.2,2020-02-15
66,Clay,Alabama,Ashland,4.0,2020-02-21
67,Clay,Alabama,Ashland,8.4,2020-02-24
68,Etowah,Alabama,Gadsden,6.9,2020-01-28
69,Etowah,Alabama,Gadsden,9.5,2020-01-31
70,Etowah,Alabama,Gadsden,7.5,2020-02-03
71,Etowah,Alabama,Gadsden,5.2,2020-02-09
72,Etowah,Alabama,Gadsden,3.8,2020-02-12
73,Etowah,Alabama,Gadsden,6.1,2020-02-15
74,Etowah,Alabama,Gadsden,2.6,2020-02-18
75,Etowah,Alabama,Gadsden,5.1,2020-02-21
